sample_id,source_url,split,variant,injected_codes,defect_codes,label,annotator,date,guideline_version,notes,provenance
G-011,/vn_vi/nguyen-tac-va-chi-phi-bao-duong-xe-may-dien-vinfast,gold-real,original,,A1;B3;B8,rejected,AI-A1,2026-08-17,v1.4,"claim 'có một không hai... không có ở bất kì loại xe điện hãng khác'; meta 187 ký tự; lỗi 'chỉnh chu'; CP7=2; C4=18",AI-annotated-partially-exposed
G-012,/vn_vi/chi-phi-su-dung-xe-dien,gold-real,original,,B8;B10;B11,needs_revision,AI-A1,2026-08-17,v1.4,"bảng chi phí có lỗi/giá trị bất nhất; nghiên cứu chi phí không nêu nguồn; claim đổi pin dưới 70% thiếu thời hạn (CP7=1); C4=35",AI-annotated-partially-exposed
G-013,/vn_vi/nuoi-o-to-dien-vinfast-vf-e34-co-re-hon-xe-xang,gold-real,original,,B1;B8;B10;B11,needs_revision,AI-A1,2026-08-17,v1.4,"318,6km chỉ ghi 'pin tiêu chuẩn', không ghi chuẩn đo; 'Với cách khách hàng' và dấu câu sai; claim thay pin dưới 70% thiếu thời hạn (CP7=1); C4=23",AI-annotated-partially-exposed
G-014,/vn_vi/chi-phi-nuoi-xe-vf-e34-hang-thang-tiet-kiem-bao-nhieu,gold-real,original,,B3;B8;B11,needs_revision,AI-A1,2026-08-17,v1.4,"meta 172 ký tự; 'các chi tiết cần cần bảo dưỡng'/'tiết kiện'; claim thay pin dưới 70% thiếu thời hạn (CP7=1); C4=22",AI-annotated-partially-exposed
G-015,/vn_vi/co-nen-mua-o-to-thoi-diem-nay,gold-real,original,,B8;B10;B11,needs_revision,AI-A1,2026-08-17,v1.4,"'được hưởngg' và 'bằng cáchliên hệ'; các tỷ lệ ước tính không nêu nguồn; claim đổi pin dưới 70% thiếu thời hạn (CP7=1); C4=14",AI-annotated-partially-exposed
G-016,/vn_vi/so-sanh-chi-phi-bao-duong-o-to-dien-va-o-to-xang,gold-real,original,,B8;B10,needs_revision,AI-A1,2026-08-17,v1.4,"summary lặp 'ít nhất ít hơn'; 'thường xe khuyến cáo'; các tỷ lệ/nghiên cứu không nêu nguồn; C4=8",AI-annotated-partially-exposed
G-017,/vn_vi/tong-quan-tram-sac-vinfast,gold-real,original,,B1;B3;B4;B8,needs_revision,AI-A1,2026-08-17,v1.4,"title 74 và meta 186 ký tự; 285km thiếu chuẩn đo; meta sai ngữ pháp 'với hơn hệ thống'; C4=20",AI-annotated-partially-exposed
G-018,/vn_vi/huong-dan-cach-tim-tram-sac-bang-app-vinfast-e-scooter,gold-real,original,,B3,needs_revision,AI-A1,2026-08-17,v1.4,"meta_description 118 ký tự; C4=3",AI-annotated-partially-exposed
G-019,/vn_vi/ung-dung-vinfast-cho-o-to-dien,gold-real,original,,B8,needs_revision,AI-A1,2026-08-17,v1.4,"'điều khiển ô tô từ bằng thiết bị', 'được được', dấu câu lặp; chỉ nhắc chung chính sách nên CP7=NA; C4=22",AI-annotated-partially-exposed
G-020,/vn_vi/quan-ly-xe-o-to-dien-qua-ung-dung-vinfast,gold-real,original,,A1,rejected,AI-A1,2026-08-17,v1.4,"claim 'mẫu xe được săn đón nhất thị trường xe xanh'; C4=20",AI-annotated-partially-exposed
P-001a,/vn_vi/cham-soc-xe-dien-vao-thoi-tiet-hanh-kho,gold-pert,perturbed,,A1,rejected,AI-A1,2026-08-17,v1.4,"claim VinFast 'số 1 Việt Nam' và công nghệ pin 'tốt nhất thị trường'; C4=8",AI-annotated-partially-exposed
P-001b,/vn_vi/cham-soc-xe-dien-vao-thoi-tiet-hanh-kho,gold-pert,perturbed,,B3,needs_revision,AI-A1,2026-08-17,v1.4,"meta_description trống; C4=8",AI-annotated-partially-exposed
P-002a,/vn_vi/huong-dan-sac-pin-o-to-dien-vinfast,gold-pert,perturbed,,A3;B3,rejected,AI-A1,2026-08-17,v1.4,"claim VF 8 đi 500km/lần sạc trái số công bố 420/400km; meta 131 ký tự; C4=20",AI-annotated-partially-exposed
P-003a,/vn_vi/cach-de-xe-dien-lau-het-pin-moi-nhat,gold-pert,perturbed,,B1;B2;B10;B11,needs_revision,AI-A1,2026-08-17,v1.4,"VF 8 420km thiếu WLTP/lưu ý thực tế; thời gian sạc Klara thiếu loại sạc; số 30% không nguồn; claim tạm dừng hợp đồng thuê pin thiếu điều kiện/phí/thời hạn (CP7=0); C4=13",AI-annotated-partially-exposed
P-004a,/vn_vi/xe-dien-sac-bao-lau-thi-day,gold-pert,perturbed,,B2;B4;B5;B8,needs_revision,AI-A1,2026-08-17,v1.4,"claim 30 phút thiếu loại trụ/dải %; title gắn năm 2024 đã cũ; 'Felis S' sai model; lỗi 'Ngoài việc quan xe điện'; C4=5",AI-annotated-partially-exposed
P-004b,/vn_vi/xe-dien-sac-bao-lau-thi-day,gold-pert,perturbed,,A4;B4;B5;B8,rejected,AI-A1,2026-08-17,v1.4,"giảm 3 triệu cho đặt cọc sớm nhưng thiếu thời hạn/điều kiện; title năm 2024; 'Felis S'; lỗi ngôn ngữ; C4=5",AI-annotated-partially-exposed
P-005a,/vn_vi/sac-pin-luu-dong-24-7,gold-pert,perturbed,,A2;B3,rejected,AI-A1,2026-08-17,v1.4,"so sánh trực tiếp dịch vụ VinFast nhanh hơn/rẻ hơn Tesla và BYD; meta 137 ký tự; C4=11",AI-annotated-partially-exposed
P-006a,/vn_vi/so-sanh-chi-phi-van-hanh-xe-dien-va-xe-xang,gold-pert,perturbed,,B10,needs_revision,AI-A1,2026-08-17,v1.4,"claim 90% người dùng hài lòng không nêu nguồn; các claim thuê pin còn lại có đối tượng/phí/thời hạn (CP7=2); C4=15",AI-annotated-partially-exposed
P-007a,/vn_vi/o-to-dien-va-o-to-xang-co-gi-khac-nhau,gold-pert,perturbed,,A1;B5;B8,rejected,AI-A1,2026-08-17,v1.4,"claim VinFast hàng đầu Việt Nam/công nghệ pin tốt nhất thị trường; dùng 'xe hơi điện'; lỗi dấu câu/khách hành; C4=18",AI-annotated-partially-exposed
P-007b,/vn_vi/o-to-dien-va-o-to-xang-co-gi-khac-nhau,gold-pert,perturbed,,B4;B8,needs_revision,AI-A1,2026-08-17,v1.4,"title gắn năm 2019 đã cũ; lỗi dấu câu/khách hành; C4=18",AI-annotated-partially-exposed
P-008a,/vn_vi/so-sanh-xe-may-dien-va-xe-may-xang,gold-pert,perturbed,,A2;B10,rejected,AI-A1,2026-08-17,v1.4,"so sánh trực tiếp VinFast bền hơn/rẻ hơn Yadea và Pega; claim 90% không nguồn; bảo hành pin nêu đối tượng/thời hạn (CP7=2); C4=21",AI-annotated-partially-exposed
P-009a,/vn_vi/hướng-dẫn-tìm-trạm-sạc-và-showroom-vinfast-trên-website,gold-pert,perturbed,,B6;B7;B8,needs_revision,AI-A1,2026-08-17,v1.4,"1/9 ảnh thiếu alt; url_alias còn dấu tiếng Việt; lặp 'sản sản phẩm'; chính sách phí sạc có nguồn/thời hạn nhưng không thuộc claim thuê/bảo hành pin (CP7=NA); C4=18",AI-annotated-partially-exposed
P-010a,/vn_vi/huong-dan-su-dung-ung-dung-vinfast,gold-pert,perturbed,,A4;B8;B11,rejected,AI-A1,2026-08-17,v1.4,"tặng gói bảo dưỡng 2 triệu thiếu thời hạn/điều kiện; heading 'Sách dùng'; claim có 2 gói thuê pin nhưng thiếu điều kiện/phí/thời hạn (CP7=0); C4=19",AI-annotated-partially-exposed
